DATE,DESCRIPTION,INSTRUMENT,BALANCE_CHANGE,CURRENCY,BALANCE,SUMMARY,TOTAL_PL,TYPE,PAGE
04.09.2017,"Daily Change",,4696.7,USD,4696.7,1,,,1/1
04.09.2017,Deposit,,5000,USD,,,,,1/1
04.09.2017,"Total P/L on EUR/USD",EUR/USD,-303.3,USD,,,1,PUT,1/1
05.09.2017,"Daily Change",,-300,USD,4396.7,1,,,1/1
05.09.2017,"Total P/L on EUR/USD",EUR/USD,-300,USD,,,1,PUT,1/1
06.09.2017,"Daily Change",,-830,USD,3566.7,1,,,1/1
06.09.2017,"Total P/L on EUR/USD",EUR/USD,-830,USD,,,1,PUT,1/1
08.09.2017,"Daily Change",,720,USD,4286.7,1,,,1/1
08.09.2017,"Total P/L on EUR/USD",EUR/USD,720,USD,,,1,PUT,1/1
11.09.2017,"Daily Change",,2340,USD,6626.7,1,,,1/1
11.09.2017,"Total P/L on EUR/USD",EUR/USD,2340,USD,,,1,PUT,1/1
12.09.2017,"Daily Change",,-300,USD,6326.7,1,,,1/1
12.09.2017,"Total P/L on EUR/USD",EUR/USD,-300,USD,,,1,PUT,1/1
13.09.2017,"Daily Change",,1709,USD,8035.7,1,,,1/1
13.09.2017,"Total P/L on EUR/USD",EUR/USD,1709,USD,,,1,PUT,1/1
