DATE,CONTRACT_ID,START_TIME,EXPIRATION_TIME,TYPE,INSTRUMENT_TYPE,AMOUNT,INSTRUMENT,STRIKE_PRICE,STRIKE,PAY_OUT,EXPIRATION_PRICE,TOUCH_PRICE,EXPIRATION,PL,STATE,PRIMARY_PERCENT,SECONDARY_PERCENT,PAGE
13.09.2017,1172561317020000,13:17:04,14:02:04,PUT,Up/Down,100,EUR/USD,1.19582,1.19582,90%,1.19381,,1.19381,90,EXPIRED,,,1/1
13.09.2017,1172561316010000,13:16:03,14:01:03,PUT,Up/Down,100,EUR/USD,1.19542,1.19542,90%,1.19399,,1.19399,90,EXPIRED,,,1/1
13.09.2017,1172561313020000,13:13:04,13:58:04,PUT,Up/Down,100,EUR/USD,1.19577,1.19577,90%,1.195,,1.195,90,EXPIRED,,,1/1
13.09.2017,1172561312010001,13:12:03,13:57:03,PUT,Up/Down,100,EUR/USD,1.19593,1.19593,90%,1.19517,,1.19517,90,EXPIRED,,,1/1
13.09.2017,1172561311010000,13:11:03,13:56:03,PUT,Up/Down,100,EUR/USD,1.19594,1.19594,90%,1.19479,,1.19479,90,EXPIRED,,,1/1
13.09.2017,1172561310010001,13:10:03,13:55:03,PUT,Up/Down,100,EUR/USD,1.19577,1.19577,90%,1.1949,,1.1949,90,EXPIRED,,,1/1
13.09.2017,1172561309010000,13:09:03,13:54:03,PUT,Up/Down,100,EUR/USD,1.1957,1.1957,90%,1.19475,,1.19475,90,EXPIRED,,,1/1
13.09.2017,1172561308010001,13:08:03,13:53:03,PUT,Up/Down,100,EUR/USD,1.19588,1.19588,90%,1.1949,,1.1949,90,EXPIRED,,,1/1
13.09.2017,1172561306010000,13:06:03,13:51:03,PUT,Up/Down,100,EUR/USD,1.196,1.196,90%,1.19481,,1.19481,90,EXPIRED,,,1/1
13.09.2017,1172561305010000,13:05:03,13:50:03,PUT,Up/Down,100,EUR/USD,1.19629,1.19629,90%,1.19449,,1.19449,90,EXPIRED,,,1/1
13.09.2017,1172561304010000,13:04:03,13:49:03,PUT,Up/Down,100,EUR/USD,1.1963,1.1963,90%,1.19488,,1.19488,90,EXPIRED,,,1/1
13.09.2017,1172561301020000,13:01:04,13:46:04,PUT,Up/Down,100,EUR/USD,1.19706,1.19706,90%,1.19533,,1.19533,90,EXPIRED,,,1/1
13.09.2017,1172561247010000,12:47:03,13:32:03,PUT,Up/Down,100,EUR/USD,1.19783,1.19783,90%,1.19531,,1.19531,90,EXPIRED,,,1/1
13.09.2017,1172561246010000,12:46:03,13:31:03,PUT,Up/Down,100,EUR/USD,1.19787,1.19787,90%,1.19524,,1.19524,90,EXPIRED,,,1/1
13.09.2017,1172561245010000,12:45:03,13:30:03,PUT,Up/Down,100,EUR/USD,1.19792,1.19792,90%,1.1952,,1.1952,90,EXPIRED,,,1/1
13.09.2017,1172561240010001,12:40:03,13:25:03,PUT,Up/Down,100,EUR/USD,1.19809,1.19809,90%,1.19492,,1.19492,90,EXPIRED,,,1/1
13.09.2017,1172561239010000,12:39:03,13:24:03,PUT,Up/Down,100,EUR/USD,1.19824,1.19824,90%,1.19555,,1.19555,90,EXPIRED,,,1/1
13.09.2017,1172561236040000,12:36:06,13:21:06,PUT,Up/Down,100,EUR/USD,1.19857,1.19857,90%,1.19584,,1.19584,90,EXPIRED,,,1/1
13.09.2017,1172561202010000,12:02:03,12:47:03,PUT,Up/Down,100,EUR/USD,1.19846,1.19846,90%,1.19784,,1.19784,90,EXPIRED,,,1/1
13.09.2017,1172561002010000,10:02:03,10:05:03,PUT,Up/Down,1,EUR/USD,1.19733,1.19733,90%,1.19744,,1.19744,-1,EXPIRED,,,1/1
12.09.2017,1172551410010000,14:10:03,14:55:03,PUT,Up/Down,100,EUR/USD,1.19542,1.19542,90%,1.19602,,1.19602,-100,EXPIRED,,,1/1
12.09.2017,1172551401010000,14:01:03,14:46:03,PUT,Up/Down,100,EUR/USD,1.19461,1.19461,90%,1.19605,,1.19605,-100,EXPIRED,,,1/1
12.09.2017,1172551400010000,14:00:03,14:45:03,PUT,Up/Down,100,EUR/USD,1.19467,1.19467,90%,1.19593,,1.19593,-100,EXPIRED,,,1/1
11.09.2017,1172541205010000,12:05:03,12:50:03,PUT,Up/Down,100,EUR/USD,1.20025,1.20025,90%,1.19861,,1.19861,90,EXPIRED,,,1/1
11.09.2017,1172541204010000,12:04:03,12:49:03,PUT,Up/Down,100,EUR/USD,1.20002,1.20002,90%,1.19829,,1.19829,90,EXPIRED,,,1/1
