DATE,CONTRACT_ID,START_TIME,EXPIRATION_TIME,TYPE,INSTRUMENT_TYPE,AMOUNT,INSTRUMENT,STRIKE_PRICE,STRIKE,PAY_OUT,CONDITION_PRICE,CONDITION_PAY_OUT,EXPIRATION_PRICE,TOUCH_PRICE,EXPIRATION,PRIMARY_PERCENT,SECONDARY_PERCENT,STATE,PARENT_BI_ORDER_ID,CHAIN_TYPE,CHAIN_LENGTH,PAGE
30.10.2017,1173032037050000,20:37:07,20:59:07,CALL,Up/Down,900,EUR/USD,,,90%,,,,,,,,REJECTED,,,,1/1
30.10.2017,1173032034050000,20:34:07,20:58:07,CALL,Up/Down,900,EUR/USD,,,90%,,,,,,,,REJECTED,,,,1/1
30.10.2017,1173032033040000,20:33:06,20:57:06,CALL,Up/Down,900,EUR/USD,,,90%,,,,,,,,REJECTED,,,,1/1
30.10.2017,1173032029020000,20:29:04,20:59:04,CALL,Up/Down,900,EUR/USD,,,90%,,,,,,,,REJECTED,,,,1/1
30.10.2017,1173032002020000,20:02:04,20:46:04,PUT,Up/Down,900,EUR/USD,,,90%,,,,,,,,REJECTED,,,,1/1
30.10.2017,1173032001040000,20:01:06,20:45:06,PUT,Up/Down,900,EUR/USD,1.16571,,90%,,,1.16558,,1.16558,,,EXPIRED,,,,1/1
30.10.2017,1173032000010000,20:00:03,20:44:03,PUT,Up/Down,900,EUR/USD,1.16568,,90%,,,1.16563,,1.16563,,,EXPIRED,,,,1/1
30.10.2017,1173031902100000,19:02:12,19:46:12,PUT,Up/Down,900,EUR/USD,1.16371,,90%,,,1.16475,,1.16475,,,EXPIRED,,,,1/1
30.10.2017,1173031840040000,18:40:06,19:24:06,PUT,Up/Down,900,EUR/USD,1.16338,,90%,,,1.16437,,1.16437,,,EXPIRED,,,,1/1
30.10.2017,1173031735130000,17:35:15,18:19:15,CALL,Up/Down,900,EUR/USD,,,90%,,,,,,,,REJECTED,,,,1/1
30.10.2017,1173031734010000,17:34:03,18:18:03,CALL,Up/Down,900,EUR/USD,1.16334,,90%,,,1.16293,,1.16293,,,EXPIRED,,,,1/1
30.10.2017,1173031729020000,17:29:04,18:13:04,CALL,Up/Down,900,EUR/USD,1.16325,,90%,,,1.16284,,1.16284,,,EXPIRED,,,,1/1
30.10.2017,1173031622020000,16:22:04,17:06:04,PUT,Up/Down,900,EUR/USD,,,90%,,,,,,,,REJECTED,,,,1/1
